id,destination,company,f_duration,comment,type,f_time
220,Male,ITA Airways,585,Maldive. Serve aggiungere altro? Atterri e dimentichi persino il tuo nome.,Turismo,22:00:00
221,Colombo,SriLankan Airlines,615,"Sri Lanka, spezie e tè. Un viaggio spirituale per ritrovare la pazienza persa.",Turismo,21:30:00
222,Islamabad,Pakistan Int. Airlines,470,Un viaggio insolito tra montagne e cultura. Per chi vuole staccare davvero dai soliti circuiti.,Lavoro,20:00:00
223,Lahore,Pakistan Int. Airlines,490,Cultura e cibo pakistano. Un'esperienza sensoriale totale lontano dal monitor.,Lavoro,21:00:00
224,Tashkent,Uzbekistan Airways,380,"Uzbekistan, sulla Via della Seta. Un viaggio leggendario lontano dalla routine.",Turismo/Business,22:30:00
225,Almaty,Air Astana,430,"Kazakistan? Se vuoi sparire davvero e non farti trovare dal capo, è il posto giusto.",Business,23:00:00
226,Ulaanbaatar,MIAT Mongolian,570,"Mongolia. Se vuoi essere davvero irraggiungibile, questa è la tua meta.",Turismo,23:30:00
227,Hanoi,Vietnam Airlines,680,Caos magnetico e caffè all'uovo. Un'avventura che vale più di mille meeting.,Turismo/Business,23:45:00
228,Taipei,China Airlines,760,"Taiwan, tra mercati notturni e grattacieli. Un'isola di energia pura.",Business,23:55:00
229,Manila,Philippine Airlines,795,"Filippine, un caos vibrante che ti farà sentire vivo come non mai.",Lavoro,23:30:00
230,Perth,Qantas,960,Australia Occidentale. Il punto più isolato del mondo. Perfetto no?,Intercontinentale,15:15:00
231,Sydney,Qantas,1260,"Opera House e surf. Se vai così lontano, non possono chiederti di rientrare prima.",Intercontinentale,16:45:00
232,Melbourne,ITA Airways,1320,La città più vivibile del mondo. Forse perché è a 24 ore di volo dal tuo ufficio?,Intercontinentale,18:15:00
233,Auckland,Air New Zealand,1440,"Dall'altra parte del mondo. Se provano a chiamarti, avrai la scusa del fuso orario.",Intercontinentale,19:45:00
234,San Francisco,United Airlines,750,"Ponte, nebbia e libertà. Lascia il cuore lì, ma lascia il lavoro qui.",Business/Turismo,15:10:00
235,Los Angeles,ITA Airways,790,Hollywood ti aspetta. Recita la parte di quello che non ha mai avuto un ufficio.,Business/Turismo,15:40:00
236,Chicago O'Hare,American Airlines,645,La città del vento. Lascia che soffi via tutte le tue responsabilità.,Business,16:10:00
237,Dallas,American Airlines,710,Tutto è più grande in Texas. Compreso il tuo desiderio di non tornare mai più.,Business,16:40:00
238,Atlanta,Delta Air Lines,655,Dagli uffici di Roma a quelli della Coca-Cola. Almeno lì il marketing è frizzante.,Business/Hub,17:10:00
239,Detroit,Delta Air Lines,630,La città dei motori. Metti la quarta e sfreccia via dalla tua postazione.,Business/Hub,17:40:00
240,Philadelphia,American Airlines,615,Corri sulle scale come Rocky. Hai appena vinto il match contro la routine!,Business,18:10:00
241,Montreal,Air Canada,535,Un pezzo di Francia in Nord America. Poutine e sorrisi per ricaricare le pile.,Turismo/Business,18:40:00
242,Vancouver,Air Canada,690,Tra mare e montagne canadesi. La natura ti rimetterà al mondo.,Turismo,19:10:00
243,Città del Capo,ITA Airways,680,"Ai confini del mondo. Tra balene e pinguini, il capo sembrerà un lontano ricordo.",Turismo,21:50:00
244,Johannesburg,ITA Airways,645,Sudafrica selvaggio. Dalla giungla di cemento alla savana vera.,Business,22:30:00
245,Luanda,TAAG,510,"Angola, tra petrolio e spiagge. Un'avventura per cuori forti.",Lavoro,23:10:00
246,Belo Horizonte,LATAM,675,"Brasile! Ritmo, allegria e niente notifiche push. Solo pão de queijo.",Lavoro,23:40:00
247,Santiago del Cile,LATAM,860,Tra le Ande e l'oceano. Una capitale vibrante ai piedi delle montagne.,Business,23:55:00
248,Lima,LATAM,825,Capitale gastronomica del mondo. Ceviche batte insalatina scondita della pausa pranzo.,Turismo,23:15:00
249,Bogotà,Avianca,715,Altitudine e caffè colombiano. Per chi ha bisogno di una carica che Teams non può dare.,Turismo/Business,22:45:00
250,Caracas,Conviasa,640,"Tropici e adrenalina. Un viaggio per chi non ha paura di nulla, nemmeno del licenziamento.",Lavoro,23:50:00
251,Milano Malpensa,ITA Airways,70,"Porta per il mondo o per lo shopping. In ogni caso, sei fuori ufficio.",Business,15:30:00
252,Milano Malpensa,ITA Airways,70,"Porta per il mondo o per lo shopping. In ogni caso, sei fuori ufficio.",Business,17:30:00
253,Milano Malpensa,ITA Airways,70,"Porta per il mondo o per lo shopping. In ogni caso, sei fuori ufficio.",Business,19:30:00
254,Milano Malpensa,ITA Airways,70,"Porta per il mondo o per lo shopping. In ogni caso, sei fuori ufficio.",Business,21:30:00
255,Torino,ITA Airways,70,"Eleganza sabauda, cioccolato e cinema. Una fuga di classe sotto le Alpi.",Business,15:15:00
256,Torino,ITA Airways,70,"Eleganza sabauda, cioccolato e cinema. Una fuga di classe sotto le Alpi.",Business,17:15:00
257,Torino,ITA Airways,70,"Eleganza sabauda, cioccolato e cinema. Una fuga di classe sotto le Alpi.",Business,19:15:00
258,Torino,ITA Airways,70,"Eleganza sabauda, cioccolato e cinema. Una fuga di classe sotto le Alpi.",Business,21:15:00
259,Venezia,ITA Airways,65,"Niente auto, solo barche. Un ritmo lento per dimenticare la frenesia.",Business,15:45:00
260,Venezia,ITA Airways,65,"Niente auto, solo barche. Un ritmo lento per dimenticare la frenesia.",Business,18:45:00
261,Genova,ITA Airways,65,Caruggi e focaccia. Perdersi nel porto per ritrovarsi umani.,Business,16:20:00
262,Genova,ITA Airways,65,Caruggi e focaccia. Perdersi nel porto per ritrovarsi umani.,Business,18:20:00
263,Genova,ITA Airways,65,Caruggi e focaccia. Perdersi nel porto per ritrovarsi umani.,Business,20:20:00
264,Trieste,ITA Airways,65,"Città di confine, caffè storici e vento. Un posto per poeti e sognatori.",Business,15:10:00
265,Trieste,ITA Airways,65,"Città di confine, caffè storici e vento. Un posto per poeti e sognatori.",Business,18:10:00
266,Trieste,ITA Airways,65,"Città di confine, caffè storici e vento. Un posto per poeti e sognatori.",Business,21:10:00
267,Bologna,ITA Airways,60,"La grassa, la dotta, la rossa. Lascia le tabelle e pensa alle tagliatelle.",Business,17:00:00
268,Bologna,ITA Airways,60,"La grassa, la dotta, la rossa. Lascia le tabelle e pensa alle tagliatelle.",Business,20:00:00
269,Verona,ITA Airways,60,"Amore, opera e vino. Una fuga romantica con te stesso.",Business,16:35:00
270,Verona,ITA Airways,60,"Amore, opera e vino. Una fuga romantica con te stesso.",Business,19:35:00
271,Catania,Ryanair,85,"Arancino (col pizzo) e vista sull'Etna. Esplosivo, proprio come il tuo umore oggi.",Nazionale,16:50:00
272,Catania,Wizz Air,85,"Arancino (col pizzo) e vista sull'Etna. Esplosivo, proprio come il tuo umore oggi.",Nazionale,18:50:00
273,Catania,ITA Airways,85,"Arancino (col pizzo) e vista sull'Etna. Esplosivo, proprio come il tuo umore oggi.",Nazionale,20:50:00
274,Palermo,Ryanair,75,"Caponata, cannoli e sole. A Palermo lo stress si annega nello zucchero.",Nazionale,17:40:00
275,Palermo,Wizz Air,75,"Caponata, cannoli e sole. A Palermo lo stress si annega nello zucchero.",Nazionale,19:40:00
276,Palermo,ITA Airways,75,"Caponata, cannoli e sole. A Palermo lo stress si annega nello zucchero.",Nazionale,21:40:00
277,Lamezia Terme,Ryanair,70,"Calabria, mare e peperoncino. Brucia i ponti (e le scadenze) con gusto.",Nazionale,18:15:00
278,Lamezia Terme,ITA Airways,70,"Calabria, mare e peperoncino. Brucia i ponti (e le scadenze) con gusto.",Nazionale,22:15:00
279,Bari,Ryanair,65,Focaccia barese e lungomare. La felicità esiste e non ha bisogno di slide.,Nazionale,17:30:00
280,Bari,ITA Airways,65,Focaccia barese e lungomare. La felicità esiste e non ha bisogno di slide.,Nazionale,20:30:00
281,Brindisi,Ryanair,75,Porta del Salento. Un tuffo dove l'acqua è blu e il Wi-Fi è un optional.,Nazionale,18:45:00
282,Brindisi,ITA Airways,75,Porta del Salento. Un tuffo dove l'acqua è blu e il Wi-Fi è un optional.,Nazionale,22:45:00
283,Cagliari,Ryanair,70,Un volo sopra il Tirreno e sei nel paradiso sardo. I fenicotteri non mandano email.,Nazionale,16:15:00
284,Cagliari,ITA Airways,70,Un volo sopra il Tirreno e sei nel paradiso sardo. I fenicotteri non mandano email.,Nazionale,19:15:00
285,Cagliari,ITA Airways,70,Un volo sopra il Tirreno e sei nel paradiso sardo. I fenicotteri non mandano email.,Nazionale,22:15:00
286,Alghero,AeroItalia,60,Un volo breve per il paradiso sardo. Aragosta batte tramezzino del bar 1 a 0.,Nazionale,18:30:00
287,Olbia,ITA Airways,55,Costa Smeralda. Sei pronto a sentirti un VIP per qualche giorno?,Nazionale,17:50:00
288,Olbia,AeroItalia,55,Costa Smeralda. Sei pronto a sentirti un VIP per qualche giorno?,Nazionale,20:50:00
289,Reggio Calabria,ITA Airways,75,Bronzi di Riace e bergamotto. Un tuffo nella storia davanti allo Stretto.,Nazionale,18:25:00
290,Pantelleria,ITA Airways,75,Dammusi e vento. Un'isola dura ma bellissima per chi vuole sparire davvero.,Nazionale,15:30:00
291,Lampedusa,ITA Airways,85,Più vicini all'Africa che all'Italia. Acqua turchese e zero pensieri lavorativi.,Nazionale,16:45:00
292,Londra Stansted,Ryanair,165,Il tempio dei voli low cost. Con 20 euro sei già in un altro stato mentale.,Low Cost,18:20:00
293,Londra Stansted,Ryanair,165,Il tempio dei voli low cost. Con 20 euro sei già in un altro stato mentale.,Low Cost,21:45:00
294,Parigi Beauvais,Ryanair,130,"Atterri lontano, ma la Tour Eiffel ti aspetta. Vale ogni chilometro.",Turismo,17:15:00
295,Parigi Beauvais,Ryanair,130,"Atterri lontano, ma la Tour Eiffel ti aspetta. Vale ogni chilometro.",Turismo,20:30:00
296,Bruxelles Charleroi,Ryanair,125,"Il gate per il risparmio. Con quello che risparmi sul volo, ci compri la libertà.",Low Cost,16:55:00
297,Bruxelles Charleroi,Ryanair,125,"Il gate per il risparmio. Con quello che risparmi sul volo, ci compri la libertà.",Low Cost,21:10:00
298,Budapest,Ryanair,110,Terme e Ruin Pubs. Il posto perfetto per bollire via lo stress lavorativo.,Turismo,19:25:00
299,Cracovia,Ryanair,120,Storia e fascino polacco. E una vodka che ti farà scordare l'ultimo update di Windows.,Turismo,21:55:00
